date,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,0xa160cdab225685da1d56aa342ad8841c3b53f291
2019-12-01,730,300
2020-01-01,1010,1300
2020-02-01,1140,4300
2020-03-01,1520,3100
2020-04-01,1710,3300
2020-05-01,2010,4000
2020-06-01,1630,7500
2020-07-01,1820,14600
2020-08-01,2000,11800
2020-09-01,3160,20900
2020-10-01,3600,27900
2020-11-01,4070,33600
2020-12-01,6530,65900
2021-01-01,7180,97100
2021-02-01,13500,156000
2021-03-01,12700,133600
2021-04-01,11780,154400
2021-05-01,12630,160500
2021-06-01,16110,179200
2021-07-01,16820,172200
2021-08-01,17880,197300
2021-09-01,16330,191400
2021-10-01,16440,175000
2021-11-01,15110,137300
2021-12-01,15040,132000
2022-01-01,16640,132100
2022-02-01,16100,143200
2022-03-01,16960,139500
2022-04-01,16350,187300
2022-05-01,17150,200200
2022-06-01,17790,191900
2022-07-01,18160,199700
2022-08-01,11400,88200
2022-09-01,9990,74200
2022-10-01,10480,74100
