date,0x00fce327a1c64b24a626c353e68222275d184c40,0x722122df12d4e14e13ac3b6895a86e84145b6967,0x905b63fff465b9ffbf41dea908ceb12478ec7601,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,0xa160cdab225685da1d56aa342ad8841c3b53f291,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
2019-12-01,0,0,0,990,300,0
2020-01-01,0,0,0,2840,5900,0
2020-02-01,0,0,0,5100,9200,0
2020-03-01,0,0,0,6960,13100,0
2020-04-01,0,0,0,10390,22100,0
2020-05-01,0,0,0,13980,41800,0
2020-06-01,0,0,0,18870,47900,0
2020-07-01,0,0,0,22830,61700,0
2020-08-01,0,0,0,27470,94500,0
2020-09-01,0,0,0,35450,130200,0
2020-10-01,0,0,0,48120,257200,0
2020-11-01,0,0,0,60090,344200,0
2020-12-01,0,0,40630,65710,391600,0
2021-01-01,0,0,158560,65710,391800,0
2021-02-01,0,0,292470,65710,391800,0
2021-03-01,0,14890,461450,65710,391800,0
2021-04-01,0,168240,461450,65710,391800,0
2021-05-01,0,342820,461450,65710,391900,0
2021-06-01,0,492040,461450,65710,391900,0
2021-07-01,0,609480,461450,65710,391900,0
2021-08-01,0,734960,461450,65710,391900,0
2021-09-01,0,860300,461450,65710,391900,0
2021-10-01,0,982080,461450,65710,391900,0
2021-11-01,0,1119190,461450,65710,391900,0
2021-12-01,0,1264770,461450,65710,391900,0
2022-01-01,0,1376900,461450,65710,391900,0
2022-02-01,0,1453730,461450,65710,391900,25710
2022-03-01,0,1453730,461450,65830,391900,140920
2022-04-01,0,1453730,461450,65940,391900,319550
2022-05-01,0,1453730,461450,65980,391900,535970
2022-06-01,0,1453730,461450,65990,391900,689080
2022-07-01,0,1453730,461450,66050,391900,815420
2022-08-01,14560,1453730,461450,66240,397800,966960
2022-09-01,22910,1453730,461450,66240,397800,995450
2022-10-01,24240,1453730,461450,66240,397800,1005570
